week,date,day,shift,slot,legacy_slot,company,tier,company_id
1,2026-07-04,السبت,الفترة الصباحية,1,1,ابو راغب فارما,B,c9fee56c-eb3d-41f6-bdf2-1766d2a85568
2,2026-07-11,السبت,الفترة الصباحية,1,1,ابو راغب فارما,B,c9fee56c-eb3d-41f6-bdf2-1766d2a85568
3,2026-07-18,السبت,الفترة الصباحية,1,1,ابو راغب فارما,B,c9fee56c-eb3d-41f6-bdf2-1766d2a85568
4,2026-07-25,السبت,الفترة الصباحية,1,1,ابو راغب فارما,B,c9fee56c-eb3d-41f6-bdf2-1766d2a85568
1,2026-07-04,السبت,الفترة الصباحية,2,2,الدهبلي للادوية,B,be7c1034-c954-444f-9a2c-0e252347cc80
2,2026-07-11,السبت,الفترة الصباحية,2,2,الدهبلي للادوية,B,be7c1034-c954-444f-9a2c-0e252347cc80
3,2026-07-18,السبت,الفترة الصباحية,2,2,الدهبلي للادوية,B,be7c1034-c954-444f-9a2c-0e252347cc80
4,2026-07-25,السبت,الفترة الصباحية,2,2,الدهبلي للادوية,B,be7c1034-c954-444f-9a2c-0e252347cc80
1,2026-07-04,السبت,الفترة الصباحية,3,3,العيفري للأدوية,B,0f32cd42-330e-4595-8525-2e74da51d544
2,2026-07-11,السبت,الفترة الصباحية,3,3,العيفري للأدوية,B,0f32cd42-330e-4595-8525-2e74da51d544
3,2026-07-18,السبت,الفترة الصباحية,3,3,العيفري للأدوية,B,0f32cd42-330e-4595-8525-2e74da51d544
4,2026-07-25,السبت,الفترة الصباحية,3,3,العيفري للأدوية,B,0f32cd42-330e-4595-8525-2e74da51d544
1,2026-07-04,السبت,الفترة الصباحية,4,4,النبيل للأدوية,B,aa849e40-dabd-458d-8477-d7b9c9fadfe8
2,2026-07-11,السبت,الفترة الصباحية,4,4,النبيل للأدوية,B,aa849e40-dabd-458d-8477-d7b9c9fadfe8
3,2026-07-18,السبت,الفترة الصباحية,4,4,النبيل للأدوية,B,aa849e40-dabd-458d-8477-d7b9c9fadfe8
4,2026-07-25,السبت,الفترة الصباحية,4,4,النبيل للأدوية,B,aa849e40-dabd-458d-8477-d7b9c9fadfe8
1,2026-07-04,السبت,الفترة الصباحية,5,5,تيبكال ميديكال,B,631d85ab-115e-4384-b461-9356c8c12e20
2,2026-07-11,السبت,الفترة الصباحية,5,5,تيبكال ميديكال,B,631d85ab-115e-4384-b461-9356c8c12e20
3,2026-07-18,السبت,الفترة الصباحية,5,5,تيبكال ميديكال,B,631d85ab-115e-4384-b461-9356c8c12e20
4,2026-07-25,السبت,الفترة الصباحية,5,5,تيبكال ميديكال,B,631d85ab-115e-4384-b461-9356c8c12e20
1,2026-07-04,السبت,الفترة الصباحية,6,6,سمارتي للأدوية,B,28ba8329-0164-4e71-8fa5-0c0c3325a581
2,2026-07-11,السبت,الفترة الصباحية,6,6,سمارتي للأدوية,B,28ba8329-0164-4e71-8fa5-0c0c3325a581
3,2026-07-18,السبت,الفترة الصباحية,6,6,سمارتي للأدوية,B,28ba8329-0164-4e71-8fa5-0c0c3325a581
4,2026-07-25,السبت,الفترة الصباحية,6,6,سمارتي للأدوية,B,28ba8329-0164-4e71-8fa5-0c0c3325a581
1,2026-07-04,السبت,الفترة الصباحية,7,7,شركة المحضار اخوان,B,3b690b4b-4428-4b72-b291-7dd50f75b0ac
2,2026-07-11,السبت,الفترة الصباحية,7,7,شركة المحضار اخوان,B,3b690b4b-4428-4b72-b291-7dd50f75b0ac
3,2026-07-18,السبت,الفترة الصباحية,7,7,شركة المحضار اخوان,B,3b690b4b-4428-4b72-b291-7dd50f75b0ac
4,2026-07-25,السبت,الفترة الصباحية,7,7,شركة المحضار اخوان,B,3b690b4b-4428-4b72-b291-7dd50f75b0ac
1,2026-07-04,السبت,الفترة الصباحية,8,8,شركة لوتن للأدوية,B,9ce0819d-2d61-4781-84cc-64d6da2d5499
2,2026-07-11,السبت,الفترة الصباحية,8,8,شركة لوتن للأدوية,B,9ce0819d-2d61-4781-84cc-64d6da2d5499
3,2026-07-18,السبت,الفترة الصباحية,8,8,شركة لوتن للأدوية,B,9ce0819d-2d61-4781-84cc-64d6da2d5499
4,2026-07-25,السبت,الفترة الصباحية,8,8,شركة لوتن للأدوية,B,9ce0819d-2d61-4781-84cc-64d6da2d5499
1,2026-07-04,السبت,الفترة الصباحية,9,9,مؤسسة ابن القادري,B,2e019d4d-9b0f-43cb-afa3-74df406f88a3
2,2026-07-11,السبت,الفترة الصباحية,9,9,مؤسسة ابن القادري,B,2e019d4d-9b0f-43cb-afa3-74df406f88a3
3,2026-07-18,السبت,الفترة الصباحية,9,9,مؤسسة ابن القادري,B,2e019d4d-9b0f-43cb-afa3-74df406f88a3
4,2026-07-25,السبت,الفترة الصباحية,9,9,مؤسسة ابن القادري,B,2e019d4d-9b0f-43cb-afa3-74df406f88a3
1,2026-07-04,السبت,الفترة الصباحية,10,10,مؤسسة محمد عبد الفتاح,B,1bac3b44-32b2-46a3-a3f2-8ac52a15b560
2,2026-07-11,السبت,الفترة الصباحية,10,10,مؤسسة محمد عبد الفتاح,B,1bac3b44-32b2-46a3-a3f2-8ac52a15b560
3,2026-07-18,السبت,الفترة الصباحية,10,10,مؤسسة محمد عبد الفتاح,B,1bac3b44-32b2-46a3-a3f2-8ac52a15b560
4,2026-07-25,السبت,الفترة الصباحية,10,10,مؤسسة محمد عبد الفتاح,B,1bac3b44-32b2-46a3-a3f2-8ac52a15b560
