week,date,day,shift,base_day,base_shift,slot,legacy_slot,company,tier,company_id
1,2026-07-04,السبت,الفترة الصباحية,1,MORNING,1,1,ابو راغب فارما,UNRATED,ec3cfbd7-e8a4-4b9c-b03a-641b07d5d2c4
2,2026-07-12,الأحد,الفترة المسائية,1,MORNING,1,1,ابو راغب فارما,UNRATED,ec3cfbd7-e8a4-4b9c-b03a-641b07d5d2c4
3,2026-07-20,الإثنين,الفترة الصباحية,1,MORNING,1,1,ابو راغب فارما,UNRATED,ec3cfbd7-e8a4-4b9c-b03a-641b07d5d2c4
4,2026-07-28,الثلاثاء,الفترة المسائية,1,MORNING,1,1,ابو راغب فارما,UNRATED,ec3cfbd7-e8a4-4b9c-b03a-641b07d5d2c4
1,2026-07-04,السبت,الفترة الصباحية,1,MORNING,2,2,الدهبلي للادوية,UNRATED,972bc40f-3352-4e08-b7c4-00fdd7efbf3d
2,2026-07-12,الأحد,الفترة المسائية,1,MORNING,2,2,الدهبلي للادوية,UNRATED,972bc40f-3352-4e08-b7c4-00fdd7efbf3d
3,2026-07-20,الإثنين,الفترة الصباحية,1,MORNING,2,2,الدهبلي للادوية,UNRATED,972bc40f-3352-4e08-b7c4-00fdd7efbf3d
4,2026-07-28,الثلاثاء,الفترة المسائية,1,MORNING,2,2,الدهبلي للادوية,UNRATED,972bc40f-3352-4e08-b7c4-00fdd7efbf3d
1,2026-07-04,السبت,الفترة الصباحية,1,MORNING,3,3,العيفري للأدوية,UNRATED,a00398d6-737a-4377-b36e-db806bebd2ac
2,2026-07-12,الأحد,الفترة المسائية,1,MORNING,3,3,العيفري للأدوية,UNRATED,a00398d6-737a-4377-b36e-db806bebd2ac
3,2026-07-20,الإثنين,الفترة الصباحية,1,MORNING,3,3,العيفري للأدوية,UNRATED,a00398d6-737a-4377-b36e-db806bebd2ac
4,2026-07-28,الثلاثاء,الفترة المسائية,1,MORNING,3,3,العيفري للأدوية,UNRATED,a00398d6-737a-4377-b36e-db806bebd2ac
1,2026-07-04,السبت,الفترة الصباحية,1,MORNING,4,4,النبيل للأدوية,UNRATED,b6149a8d-bdca-4921-b993-e8433ca9034e
2,2026-07-12,الأحد,الفترة المسائية,1,MORNING,4,4,النبيل للأدوية,UNRATED,b6149a8d-bdca-4921-b993-e8433ca9034e
3,2026-07-20,الإثنين,الفترة الصباحية,1,MORNING,4,4,النبيل للأدوية,UNRATED,b6149a8d-bdca-4921-b993-e8433ca9034e
4,2026-07-28,الثلاثاء,الفترة المسائية,1,MORNING,4,4,النبيل للأدوية,UNRATED,b6149a8d-bdca-4921-b993-e8433ca9034e
1,2026-07-04,السبت,الفترة الصباحية,1,MORNING,5,5,تيبكال ميديكال,UNRATED,8286bf66-8b5c-4b50-afe1-1c20fdc5960b
2,2026-07-12,الأحد,الفترة المسائية,1,MORNING,5,5,تيبكال ميديكال,UNRATED,8286bf66-8b5c-4b50-afe1-1c20fdc5960b
3,2026-07-20,الإثنين,الفترة الصباحية,1,MORNING,5,5,تيبكال ميديكال,UNRATED,8286bf66-8b5c-4b50-afe1-1c20fdc5960b
4,2026-07-28,الثلاثاء,الفترة المسائية,1,MORNING,5,5,تيبكال ميديكال,UNRATED,8286bf66-8b5c-4b50-afe1-1c20fdc5960b
1,2026-07-04,السبت,الفترة الصباحية,1,MORNING,6,6,سمارتي للأدوية,UNRATED,ef465f1c-022d-4713-9203-860d8f4b6c34
2,2026-07-12,الأحد,الفترة المسائية,1,MORNING,6,6,سمارتي للأدوية,UNRATED,ef465f1c-022d-4713-9203-860d8f4b6c34
3,2026-07-20,الإثنين,الفترة الصباحية,1,MORNING,6,6,سمارتي للأدوية,UNRATED,ef465f1c-022d-4713-9203-860d8f4b6c34
4,2026-07-28,الثلاثاء,الفترة المسائية,1,MORNING,6,6,سمارتي للأدوية,UNRATED,ef465f1c-022d-4713-9203-860d8f4b6c34
1,2026-07-04,السبت,الفترة الصباحية,1,MORNING,7,7,شركة المحضار اخوان,UNRATED,3a69036d-106d-4f24-ad64-86fd80c8fc88
