week,date,day,shift,slot,company,tier,company_id
1,2026-07-04,السبت,الفترة الصباحية,1,النور للأدوية - التجميل,A,c9b7e001-7c83-47f1-86e4-a4e22f96ed70
1,2026-07-04,السبت,الفترة الصباحية,2,المؤسسة المتحدة للأدوية,B,ead09800-f288-4ae2-bc06-0888c976c274
1,2026-07-04,السبت,الفترة الصباحية,3,الشركة العربية (ABC),A,d99d4ec7-561b-4ab4-b009-412902790a2e
1,2026-07-04,السبت,الفترة الصباحية,4,الجزيرة والخليج,B,c78bb60f-6a81-491a-bc5d-24d7689b1762
1,2026-07-04,السبت,الفترة الصباحية,5,رواد الدواء,B,9e93ee3d-ad1c-4306-94ea-89b33bde827b
1,2026-07-04,السبت,الفترة الصباحية,6,هم حضرموت للاستيراد,A,1f123d3d-8901-4232-a76e-677f6704c67f
1,2026-07-04,السبت,الفترة الصباحية,7,شركة أرض الجنتين - الأوربية,B,eae0c11c-158f-421e-b102-4060153802e6
1,2026-07-04,السبت,الفترة المسائية,1,شركة العابد العابد,A,7f1bc6d5-5107-4c89-85b4-d3f2f3d3f664
1,2026-07-04,السبت,الفترة المسائية,2,الشركة الدوائية - التخصصية,A,2fb27e9d-b6d2-49d2-b332-10ea7ce158b8
1,2026-07-04,السبت,الفترة المسائية,3,الجبل فارما - قسم الجبل,A,35a549a6-b17c-4c70-8fc6-87c525daf667
1,2026-07-04,السبت,الفترة المسائية,4,شركة العابد - سكوت,A,4b815465-999d-4996-b0ae-e973a20d9358
1,2026-07-04,السبت,الفترة المسائية,5,الشركة اليمنية المصرية,A,2b90f88e-fdbe-42aa-822a-a4b04c844f6d
1,2026-07-04,السبت,الفترة المسائية,6,هيلث كير (د/ سامي),B,f1039aee-2f7c-4859-9cc9-e82044fe1db5
1,2026-07-04,السبت,الفترة المسائية,7,محلات مياس للأدوية,B,bf86588b-e302-4c8a-8506-b44cf8daea40
1,2026-07-04,السبت,الفترة المسائية,8,ريدان بن عباس,B,24bdcda5-8fbf-4d1a-a8d7-acd41fe4dbf8
1,2026-07-05,الأحد,الفترة الصباحية,1,مخازن بلقيس - قسم التغذية,A,9d8639c0-f6c9-44e3-a2a1-7b3f32ef40e0
1,2026-07-05,الأحد,الفترة الصباحية,2,مؤسسة عبد الفتاح باجمال,B,1416398a-dbdd-4991-9140-e595270f12f4
